:START_ID(Keyword),:END_ID(Keyword),:TYPE
水环境,水体环境,ALIAS_OF
气固两相流,气-固两相流,ALIAS_OF
采摘机械人,采摘机器人,ALIAS_OF
人口迁移,人口迁徙,ALIAS_OF
成纤维细胞激活蛋白,成纤维细胞活化蛋白,ALIAS_OF
疾病预测与预警,疾病监测与预警,ALIAS_OF
微生物合成法,微生物合成,ALIAS_OF
胃肠功能障碍,胃肠功能紊乱,ALIAS_OF
集成电路制造装备,集成电路制造,ALIAS_OF
光学相干断层扫描,光学相干断层成像,ALIAS_OF
心脑血管病风险,心脑血管疾病风险,ALIAS_OF
内镜黏膜下剥离术,内镜下黏膜下剥离术,ALIAS_OF
农产品电商供应链,农产品供应链,ALIAS_OF
injectable hydrogel,Injectable hydrogel,ALIAS_OF
information encryption,Information encryption,ALIAS_OF
社区卫生服务站,社区卫生服务中心,ALIAS_OF
神经元损伤,神经损伤,ALIAS_OF
穴位贴敷法,穴位敷贴,ALIAS_OF
中文电子病历文本,中文电子病历,ALIAS_OF
proton conduction,Proton conduction,ALIAS_OF
模型试验,实验模型,ALIAS_OF
人字齿轮行星轮系,人字行星齿轮,ALIAS_OF
余弦相似性,余弦相似度,ALIAS_OF
发酵工艺优化,发酵优化,ALIAS_OF
反应扩散方程组,反应扩散方程,ALIAS_OF
仿生嗅觉传感,仿生嗅觉,ALIAS_OF
可变卷积,可变形卷积,ALIAS_OF
冠心病(冠状动脉粥样硬化性心脏病),冠心病,ALIAS_OF
干预研究,干预性研究,ALIAS_OF
脓毒症心肌病,脓毒性心肌病,ALIAS_OF
量子信息科学技术,量子信息,ALIAS_OF
过渡金属基电催化剂,过渡金属催化剂,ALIAS_OF
中老年人,中老年,ALIAS_OF
deep learning,Deep learning,ALIAS_OF
急性心肌梗死,心肌梗死,ALIAS_OF
低碳闭环供应链,低碳供应链,ALIAS_OF
变分法,变分方法,ALIAS_OF
蛋白基因组学,蛋白—基因组学,ALIAS_OF
氧连接的β-N-乙酰葡萄糖胺修饰,氧连β-N-乙酰葡糖胺修饰,ALIAS_OF
轻量级模型,模型轻量化,ALIAS_OF
传染性法氏囊病病毒,传染性法氏囊病毒,ALIAS_OF
metal-organic framework,Metal-Organic Frameworks,ALIAS_OF
聚合物复合物,聚合物基复合材料,ALIAS_OF
Host‐guest complexes,host-guest complexation,ALIAS_OF
self‐assembly,Self-assembly,ALIAS_OF
土壤理化性状,土壤理化性质,ALIAS_OF
Bertopic,BERTopic,ALIAS_OF
actuators,actuator,ALIAS_OF
Non-Covalent Interactions,Non-covalent interactions,ALIAS_OF
自适应模糊控制,模糊自适应控制,ALIAS_OF
DFT Calculations,DFT calculations,ALIAS_OF
photodynamic therapy,Photodynamic therapy,ALIAS_OF
物流服务供应链,物流供应链,ALIAS_OF
多波束测深系统,多波束测深仪,ALIAS_OF
自主神经,自主神经系统,ALIAS_OF
self-assembly,Self-assembly,ALIAS_OF
心脑血管不良事件,不良心脑血管事件,ALIAS_OF
系统控制,控制系统,ALIAS_OF
猪轮状病毒病,猪轮状病毒,ALIAS_OF
strong coupling,Strong coupling,ALIAS_OF
电容性能,电容器性能,ALIAS_OF
cpsG,CpG,ALIAS_OF
吡啶衍生物,吡啶环衍生物,ALIAS_OF
single-molecule imaging,Single-molecule imaging,ALIAS_OF
肺康复,肺功能康复,ALIAS_OF
卷积自注意力,卷积注意力,ALIAS_OF
基因组工程,基因工程,ALIAS_OF
创伤后应激障碍症状,创伤后应激障碍,ALIAS_OF
Post-CMP cleaning,Post-CMP Cleaning,ALIAS_OF
超短期光伏发电预测,超短期光伏功率预测,ALIAS_OF
风险与应对,风险应对,ALIAS_OF
鼠疫耶尔森氏菌,鼠疫耶尔森菌,ALIAS_OF
电催化CO2RR,电催化CO2还原,ALIAS_OF
获得性免疫缺陷综合症,获得性免疫缺陷综合征,ALIAS_OF
2D-functionalization,2D-Functionalization,ALIAS_OF
受体结合域,受体结合结构域,ALIAS_OF
农业空间,农业生产空间,ALIAS_OF
干细胞疗法,干细胞治疗,ALIAS_OF
上皮间充质转化,上皮-间充质转化,ALIAS_OF
机械化学合成,机械力化学合成,ALIAS_OF
锰催化,锰催化剂,ALIAS_OF
轻度认知障碍,轻度认知功能障碍,ALIAS_OF
H9N2禽流感病毒,H9N2亚型禽流感病毒,ALIAS_OF
Competitive pathways,Competing Pathways,ALIAS_OF
中心性肥胖,中心型肥胖,ALIAS_OF
Host–guest interaction,Host-Guest interaction,ALIAS_OF
幽门螺旋杆菌,幽门螺杆菌,ALIAS_OF
代数多重网格法,代数多重网格,ALIAS_OF
后量子密码学,后量子密码,ALIAS_OF
音乐疗法,音乐治疗,ALIAS_OF
蛋白质纯化,蛋白纯化,ALIAS_OF
fluorescence,Fluorescence,ALIAS_OF
行星和卫星:探测,行星与卫星:探测,ALIAS_OF
针药结合,针药并用,ALIAS_OF
超分子结构水凝胶,超分子水凝胶,ALIAS_OF
平衡记分卡,平衡计分卡,ALIAS_OF
functional materials,Functional materials,ALIAS_OF
特大型城市,特大城市,ALIAS_OF
人类巨细胞病毒,人巨细胞病毒,ALIAS_OF
马克思政治经济学,马克思主义政治经济学,ALIAS_OF
银行竞争,银行业竞争,ALIAS_OF
炎症小体,炎性小体,ALIAS_OF
肾透明细胞癌,透明细胞肾细胞癌,ALIAS_OF
莱布尼茨代数,莱布尼兹代数,ALIAS_OF
苯并呋喃氮杂二烯(BDAs),苯并呋喃氮杂二烯,ALIAS_OF
数字化实验,实验数字化,ALIAS_OF
痛性糖尿病周围神经病变,糖尿病周围神经病变,ALIAS_OF
基层卫生机构,基层卫生单位,ALIAS_OF
银屑病性关节炎,银屑病关节炎,ALIAS_OF
多酚类物质,多酚类成分,ALIAS_OF
酶合成法,酶法合成,ALIAS_OF
分子学机制,分子生物学机制,ALIAS_OF
膝关节骨关节炎,膝骨关节炎,ALIAS_OF
Fractional differential equation,Fractional differential equations,ALIAS_OF
G蛋白偶联受体家族,G蛋白偶联受体,ALIAS_OF
蝗虫视觉神经,蝗虫视神经系统,ALIAS_OF
macromolecular assemblies,Macromolecular assembly,ALIAS_OF
RNA seq,RNA-Seq,ALIAS_OF
金属有机骨架,金属-有机骨架材料,ALIAS_OF
药物传递,药物传输,ALIAS_OF
CO（优先）氧化,CO优先氧化,ALIAS_OF
冷却速率,冷却速度,ALIAS_OF
农业生产模式,农业生产方式,ALIAS_OF
识别分类,分类识别,ALIAS_OF
神经微分方程,神经常微分方程,ALIAS_OF
术后并发症,手术后并发症,ALIAS_OF
π-π堆积,π-π堆叠,ALIAS_OF
口腔微生物群,口腔微生物,ALIAS_OF
供配电分系统,供配电系统,ALIAS_OF
健康科普教育,健康教育,ALIAS_OF
中医药健康管理,中医健康管理,ALIAS_OF
scanning electron microscopy,Scanning electron microscopy,ALIAS_OF
免疫荧光染色,免疫荧光,ALIAS_OF
自动化测试设备,自动化测试,ALIAS_OF
量子密码通信,量子密码网络,ALIAS_OF
商业载人航天器,商业载人航天,ALIAS_OF
癌症复发恐惧感,癌症复发恐惧,ALIAS_OF
婴幼儿,婴儿,ALIAS_OF
替代决策,决策替代,ALIAS_OF
活禽市场,活禽交易市场,ALIAS_OF
supramolecular self-assemblies,Supramolecular self-assembly,ALIAS_OF
国产替代,国产化替代,ALIAS_OF
脂质纳米颗粒,脂质体纳米颗粒,ALIAS_OF
供应链部分中断,供应链中断,ALIAS_OF
mechanical property,mechanical properties,ALIAS_OF
氢析出反应,析氢反应,ALIAS_OF
metal coordination,Metal coordination,ALIAS_OF
催化剂构效关系,催化剂构-效关系,ALIAS_OF
靶点治疗,靶向治疗,ALIAS_OF
透射电子显微术,透射电子显微学,ALIAS_OF
暹罗芽胞杆菌,暹罗芽孢杆菌,ALIAS_OF
结核分杆菌,结核分枝杆菌,ALIAS_OF
Graph neural networks,Graph neural network,ALIAS_OF
酶免疫实验,酶免疫试验,ALIAS_OF
实体和关系联合抽取,实体关系抽取,ALIAS_OF
契约协调,协调契约,ALIAS_OF
治疗药物,药物治疗,ALIAS_OF
产业现状,产业发展现状,ALIAS_OF
智能车,智能汽车,ALIAS_OF
平均持续,平均持久,ALIAS_OF
外膜囊泡,外囊泡,ALIAS_OF
公理化的矩阵半张量积,矩阵半张量积,ALIAS_OF
产后抑郁症,产后抑郁,ALIAS_OF
结肠炎相关结肠癌,炎症相关结直肠癌,ALIAS_OF
正电子发射断层显像,正电子发射断层扫描,ALIAS_OF
智能化信息平台,信息化智能平台,ALIAS_OF
经内镜逆行胰胆管造影术,内镜逆行胰胆管造影术,ALIAS_OF
辐照损伤,辐射损伤,ALIAS_OF
三维集成架构,三维集成,ALIAS_OF
银纳米粒子,纳米银粒子,ALIAS_OF
流体动力学,流体力学,ALIAS_OF
antibacteria,Antibacterial,ALIAS_OF
马尔科夫链蒙特卡洛方法(MCMC),马尔可夫链蒙特卡洛方法(MCMC),ALIAS_OF
X射线荧光分析,X射线荧光光谱法,ALIAS_OF
ionic liquid,Ionic liquid,ALIAS_OF
Kano模型,KANO模型,ALIAS_OF
药物废水,制药废水,ALIAS_OF
类风湿性关节炎,类风湿关节炎,ALIAS_OF
基于主体的模型,基于主体模型,ALIAS_OF
对抗生成网络,生成对抗网络,ALIAS_OF
calixarenes,Calixarenes,ALIAS_OF
序列分解,序列分析,ALIAS_OF
small-angle X-ray scattering,Small-angle X-ray scattering,ALIAS_OF
Host–guest interactions,Host-Guest interactions,ALIAS_OF
研究特点,研究特征,ALIAS_OF
抗癌药物,抗癌药,ALIAS_OF
甲状腺功能减退症,甲状腺功能减退,ALIAS_OF
高考化学题,高考化学试题,ALIAS_OF
中医药理论,中医理论,ALIAS_OF
中华传统文化,中华优秀传统文化,ALIAS_OF
流感病毒疫苗,流感疫苗,ALIAS_OF
脑缺血/再灌注损伤,脑缺血-再灌注损伤,ALIAS_OF
intermolecular interaction,Intermolecular interaction,ALIAS_OF
Structural analysis.,Structural analysis,ALIAS_OF
“双链”融合,双链融合,ALIAS_OF
聚N-异丙基丙烯酰胺(PNIPAM),聚(N-异丙基丙烯酰胺),ALIAS_OF
量子秘钥约定,量子密钥约定,ALIAS_OF
治疗靶点,治疗靶标,ALIAS_OF
问答对匹配,问答匹配,ALIAS_OF
健康管理干预,健康干预管理,ALIAS_OF
soft materials,Soft materials,ALIAS_OF
重组血清4型禽腺病毒,禽腺病毒血清4型,ALIAS_OF
集聚程度,集聚度,ALIAS_OF
CCD相机,CCD摄像机,ALIAS_OF
电解水制氢,水电解制氢,ALIAS_OF
nanofibers,Nanofiber,ALIAS_OF
-cucurbit[10]uril,cucurbit[10]uril,ALIAS_OF
噬菌体展示随机多肽,噬菌体展示多肽,ALIAS_OF
直流无刷电机,无刷直流电机,ALIAS_OF
BCI代数,BCI-代数,ALIAS_OF
最小抑菌浓度,最低抑菌浓度,ALIAS_OF
分子标记物,分子标志物,ALIAS_OF
大气污染物,大气污染,ALIAS_OF
不确定性,不确定度,ALIAS_OF
人胶原蛋白,胶原蛋白,ALIAS_OF
冠状动脉微血管疾病(CMVD),冠状动脉微循环功能障碍,ALIAS_OF
粘膜免疫,黏膜免疫,ALIAS_OF
中老年人群,老年人群,ALIAS_OF
多主体协同,多主体协作,ALIAS_OF
Pathway complexity,Pathway Complexity,ALIAS_OF
生物学标记,生物标志物,ALIAS_OF
Amphiphilic polypeptide,Amphiphilic peptide,ALIAS_OF
学科交叉融合,多学科交叉融合,ALIAS_OF
社区慢性病防治,社区慢性病管理,ALIAS_OF
整合技术,技术整合,ALIAS_OF
老年痴呆,老年性痴呆,ALIAS_OF
molecular self-assembly,Molecular self-assembly,ALIAS_OF
tunable multicolored,Tunable multicolor,ALIAS_OF
molecular machines,Molecular machines,ALIAS_OF
病理生理机制,病理生理学机制,ALIAS_OF
photoresponsive materials,photoresponsive material,ALIAS_OF
射血分数降低的心力衰竭,射血分数减低型心力衰竭,ALIAS_OF
疫苗免疫效果,疫苗效果,ALIAS_OF
supramolecular self-assembly,Supramolecular self-assembly,ALIAS_OF
“双碳”战略,双碳战略,ALIAS_OF
Self-assembling,Self-assembly,ALIAS_OF
刚棒线团分子,刚棒-线团分子,ALIAS_OF
非传染性慢性疾病,慢性非传染性疾病,ALIAS_OF
课程实践,实践课程,ALIAS_OF
Sj26gst,Sj26GST,ALIAS_OF
西医疗法,西医学疗法,ALIAS_OF
免疫药物,免疫治疗药物,ALIAS_OF
生物质炭基催化剂,炭基催化剂,ALIAS_OF
化学合成法,化学合成,ALIAS_OF
智能检测,智能化检测,ALIAS_OF
臭氧（O3）污染,臭氧(O3),ALIAS_OF
变模态分解,变分模态分解,ALIAS_OF
碳水化合物活性酶类,碳水化合物活性酶,ALIAS_OF
双向长短时记忆网络,双向长短期记忆网络,ALIAS_OF
外语教育与研究,外语教学与研究,ALIAS_OF
PLC控制器,PLC控制,ALIAS_OF
感染后咳嗽,呼吸道感染后咳嗽,ALIAS_OF
VIT,ViT,ALIAS_OF
Kras,KRAS,ALIAS_OF
公共电动车充电桩,公共充电桩,ALIAS_OF
昼夜节律性,昼夜节律,ALIAS_OF
Noncovalent interactions,Non-covalent interactions,ALIAS_OF
纳米递药系统,纳米药物递送系统,ALIAS_OF
含氯有机物,含氯挥发性有机物,ALIAS_OF
非特异性免疫力,非特异性免疫,ALIAS_OF
生物聚酯,生物基聚酯,ALIAS_OF
化工制药,化学制药,ALIAS_OF
远程管理控制,远程控制,ALIAS_OF
Supramolecular assembling,Supramolecular assembly,ALIAS_OF
机器人智能抓取,机器人抓取,ALIAS_OF
纺织行业,纺织业,ALIAS_OF
药理活性,药物活性,ALIAS_OF
分布式表征,分布式表示,ALIAS_OF
扩散传染病模型,扩散SIR传染病模型,ALIAS_OF
产量估计,产量估算,ALIAS_OF
火星探测器,火星探测,ALIAS_OF
罗伊氏粘液乳杆菌,罗伊氏黏液乳杆菌,ALIAS_OF
肾综合征出血热(流行性出血热),肾综合征出血热,ALIAS_OF
MCM－41,MCM-41,ALIAS_OF
Supra­molecular assembly,Supramolecular assembly,ALIAS_OF
ion channel,Ion channel,ALIAS_OF
辅助诊疗系统,辅助诊断系统,ALIAS_OF
癌症免疫疗法,癌症免疫治疗,ALIAS_OF
大语言模型(LLM),大型语言模型(LLM),ALIAS_OF
超效率SBM模型,SBM超效率模型,ALIAS_OF
急性上呼吸道感染,上呼吸道感染,ALIAS_OF
蛋白结构预测,蛋白质结构预测,ALIAS_OF
演变趋势,演化趋势,ALIAS_OF
糖尿病肾脏病,糖尿病肾病,ALIAS_OF
再次感染,再感染,ALIAS_OF
电解水析氢,水电解制氢,ALIAS_OF
oligomerization,Oligomerization,ALIAS_OF
反应分子动力学,分子反应动力学,ALIAS_OF
Pt基催化剂,Pt催化剂,ALIAS_OF
转化生长因子β,转化生长因子-β,ALIAS_OF
气虚血瘀证,气虚血瘀,ALIAS_OF
mol­ecular conformation,Molecular conformation,ALIAS_OF
无线传感网,无线传感器网络,ALIAS_OF
微分差分方程,微分-差分方程,ALIAS_OF
Matlab GUI,MATLAB GUI,ALIAS_OF
单核细胞高密度脂蛋白胆固醇比值,单核细胞/高密度脂蛋白胆固醇比值,ALIAS_OF
过敏性皮肤疾病,过敏性疾病,ALIAS_OF
immunotherapy,Immunotherapy,ALIAS_OF
环化氧化,氧化环化,ALIAS_OF
神经—影像,神经影像,ALIAS_OF
joinpoint回归模型,Joinpoint回归模型,ALIAS_OF
胃肠道肿瘤,胃肠肿瘤,ALIAS_OF
腺病毒载体疫苗,腺病毒疫苗,ALIAS_OF
molecular conformation,Molecular conformation,ALIAS_OF
interfacial supramolecular assembly,interfacial assembly,ALIAS_OF
马流产沙门菌,马流产沙门氏菌,ALIAS_OF
病毒载体疫苗,活载体疫苗,ALIAS_OF
中医药,中医中药,ALIAS_OF
芯片制造企业,芯片企业,ALIAS_OF
self-aggregation,Self-Aggregation,ALIAS_OF
小分子水凝胶,小分子凝胶,ALIAS_OF
心血管磁共振成像,心血管磁共振,ALIAS_OF
医学图像计算,医学图像处理,ALIAS_OF
数字平台,数字化平台,ALIAS_OF
6D姿态估计,6D位姿估计,ALIAS_OF
低共融溶剂,低共溶溶剂,ALIAS_OF
重组酶介导等温扩增,重组酶介导的等温扩增,ALIAS_OF
肝脏炎症,肝炎,ALIAS_OF
反向遗传技术,反向遗传学,ALIAS_OF
piperazines,Piperazines,ALIAS_OF
小天体,近地小行星: 小天体:近地小行星,ALIAS_OF
优化理论分析,优化理论,ALIAS_OF
水果采摘机器人,智能水果采摘机器人,ALIAS_OF
超分子主体化合物,超分子化合物,ALIAS_OF
模态分解,变分模态分解,ALIAS_OF
精细复合多尺度离散熵,精细复合多尺度散度熵,ALIAS_OF
乳腺增生症,乳腺增生,ALIAS_OF
MHCⅠ类分子,MHC Ⅰ类分子,ALIAS_OF
COX回归,Cox回归,ALIAS_OF
YOLOV5s,YOLOv5s,ALIAS_OF
肝炎症,肝炎,ALIAS_OF
Host–Guest Chemistry,Host-guest chemistry,ALIAS_OF
社交网络平台,社交平台,ALIAS_OF
NOD样受体蛋白3(NLRP3)炎症小体,NOD样受体家族蛋白3炎症小体,ALIAS_OF
数字孪生体,数字孪生,ALIAS_OF
泛猫白细胞减少综合症病毒,猫泛白细胞减少症病毒,ALIAS_OF
Citespace,CiteSpace,ALIAS_OF
DNA存储,DNA信息存储,ALIAS_OF
fluorescence probe,Fluorescent probe,ALIAS_OF
Banach压缩映像原理,Banach压缩映射原理,ALIAS_OF
终生学习,终身学习,ALIAS_OF
多黏菌素,多粘菌素,ALIAS_OF
非贵金属电催化剂,非贵金属催化剂,ALIAS_OF
猪伪狂犬病毒,猪伪狂犬病病毒,ALIAS_OF
morphology,Morphology,ALIAS_OF
Sadovskii’s不动点定理,Sadovskii不动点定理,ALIAS_OF
化学合成类药物,化学原料药,ALIAS_OF
血管衰老,血管老化,ALIAS_OF
nanomaterial,Nanomaterial,ALIAS_OF
多/高光谱影像,多光谱影像,ALIAS_OF
中药提取物,中草药提取物,ALIAS_OF
碳基气凝胶,碳气凝胶,ALIAS_OF
人端粒酶逆转录酶,端粒酶逆转录酶,ALIAS_OF
慢性前列腺炎/慢性骨盆疼痛综合征,慢性前列腺炎/慢性盆腔疼痛综合征,ALIAS_OF
神经调节,神经调控,ALIAS_OF
阿尔兹海默病,阿尔茨海默病,ALIAS_OF
16s rRNA测序技术,16S rRNA测序技术,ALIAS_OF
铁基金属有机框架材料,铁基金属有机框架,ALIAS_OF
生物催化技术,生物催化剂,ALIAS_OF
医学伦理学,医学伦理,ALIAS_OF
科研情境,科研场景,ALIAS_OF
蒙特卡洛模拟法,蒙特卡洛模拟,ALIAS_OF
分数阶随机SIRD模型,分数阶时变随机SIRD模型,ALIAS_OF
航天薄壁构件,航天薄壁件,ALIAS_OF
体育运动训练,体育训练,ALIAS_OF
hydrogen bond,Hydrogen bond,ALIAS_OF
混合教学,混合式教学,ALIAS_OF
载人航天工程,中国载人航天工程,ALIAS_OF
金刚石对顶,金刚石对顶砧,ALIAS_OF
猪流行腹泻病毒,猪流行性腹泻病毒,ALIAS_OF
植物提取物,植物提取,ALIAS_OF
无监督领域自适应,无监督域自适应,ALIAS_OF
智能图书馆,智慧图书馆,ALIAS_OF
生物标记,生物标志物,ALIAS_OF
血凝素-神经氨酸酶蛋白(HN),血凝素-神经氨酸酶(HN),ALIAS_OF
实验创新,创新实验,ALIAS_OF
镜像神经系统,镜像神经元,ALIAS_OF
社区卫生服务机构,社区卫生服务中心,ALIAS_OF
天地一体化网络,天地一体化信息网络,ALIAS_OF
nanofiber,Nanofiber,ALIAS_OF
语言行为理论,言语行为理论,ALIAS_OF
肺部功能,肺功能,ALIAS_OF
生态系统服务簇,生态系统服务,ALIAS_OF
傅里叶变换红外显微光谱,傅立叶变换红外光谱,ALIAS_OF
structure,Structure,ALIAS_OF
口腔癌症,口腔癌,ALIAS_OF
人工智能(AI)技术,人工智能(AI),ALIAS_OF
高新技术产业,高技术产业,ALIAS_OF
超导纳米线单光子探测,超导纳米线单光子探测器,ALIAS_OF
行星变速箱,行星变速器,ALIAS_OF
低分子量肝素,低分子肝素,ALIAS_OF
多酶级联反应器,多酶级联催化,ALIAS_OF
微低重力环境模拟,微重力环境模拟,ALIAS_OF
地质大数据观,地质大数据,ALIAS_OF
提取法,提取方法,ALIAS_OF
工业绿色转型,制造业绿色转型,ALIAS_OF
Sulfated-β-cyclodextrin,Sulfated β-cyclodextrin,ALIAS_OF
有机无机杂化材料,有机-无机杂化材料,ALIAS_OF
Logistic回归分析,Logistic回归,ALIAS_OF
智能管理,智能化管理,ALIAS_OF
支持性照顾需求,支持性照护需求,ALIAS_OF
cGAS/STING通路,cGAS-STING通路,ALIAS_OF
化学机械抛光(CMP),化学机械抛光,ALIAS_OF
multicharged supramolecular assembly,Multivalent supramolecular assembly,ALIAS_OF
产业园区,产业园,ALIAS_OF
传染性单核细胞增多,传染性单核细胞增多症,ALIAS_OF
Poly(I,C): Poly(I:C),ALIAS_OF
金属有机框架,金属-有机框架,ALIAS_OF
生物-化学合成途径,生物化学合成途径,ALIAS_OF
apoptosis,Apoptosis,ALIAS_OF
碳价预测,碳价格预测,ALIAS_OF
laplace变换,Laplace变换,ALIAS_OF
癌症症状群,癌症症状,ALIAS_OF
数控加工技术,数控加工,ALIAS_OF
检索模型,检索式模型,ALIAS_OF
微信平台,微信公众号,ALIAS_OF
根治手术,根治性手术,ALIAS_OF
电化学二氧化碳还原,二氧化碳电还原,ALIAS_OF
“三全”健康管理,三全健康管理,ALIAS_OF
中医模型,中医大模型,ALIAS_OF
共振光散射技术,共振光散射光谱,ALIAS_OF
Supramolecular networks,Supramolecular network,ALIAS_OF
温敏水凝胶,温敏性水凝胶,ALIAS_OF
水滴数论分档随机喷溅,水滴分档随机喷溅,ALIAS_OF
nitric oxide,Nitric oxide,ALIAS_OF
rhodium,Rhodium,ALIAS_OF
酶联免疫吸附试验,酶联免疫吸附法,ALIAS_OF
多智能体集群控制,多智能体协同控制,ALIAS_OF
基因比较分析,比较基因组学,ALIAS_OF
微机电系统技术,微机电系统,ALIAS_OF
代谢功能障碍相关脂肪性肝病,代谢相关脂肪性肝病,ALIAS_OF
cryo-TEM,Cryo-TEM,ALIAS_OF
典型肥厚型心肌病,肥厚型心肌病,ALIAS_OF
环碳酸酯,环状碳酸酯,ALIAS_OF
性别间差异,性别差异,ALIAS_OF
人因可靠性分析方法,人因可靠性分析,ALIAS_OF
脾肾阳虚,脾肾阳虚证,ALIAS_OF
纳米递送系统,纳米递送体系,ALIAS_OF
polymerization,Polymerization,ALIAS_OF
双边滤波器,双边滤波,ALIAS_OF
破火山口构造,破火山口,ALIAS_OF
绝缘栅双极晶体管,绝缘栅双极型晶体管,ALIAS_OF
苯甘氨酸,苯丙氨酸,ALIAS_OF
新科技革命,新技术革命,ALIAS_OF
enantioselective material,Enantioselective Material,ALIAS_OF
血脂代谢异常,血脂异常,ALIAS_OF
轻质高强金属材料,轻质高强金属,ALIAS_OF
猪急性腹泻综合征冠状病毒(SADS-CoV),猪急性腹泻综合征冠状病毒,ALIAS_OF
最大熵理论,最大熵原理,ALIAS_OF
蒙特卡罗,蒙特卡洛法,ALIAS_OF
轻量化算法,算法轻量化,ALIAS_OF
动力可靠度,动力可靠性,ALIAS_OF
铁基催化剂,铁催化剂,ALIAS_OF
挥发性有机物污染,挥发性有机污染物,ALIAS_OF
试验样本,试验样品,ALIAS_OF
疾病防控,疾病防护,ALIAS_OF
conjugated polymers,Conjugated polymers,ALIAS_OF
灰色关联度分析,灰色关联分析,ALIAS_OF
量子认证系统,量子认证,ALIAS_OF
coumarin,Coumarin,ALIAS_OF
医药行业,医药医疗行业,ALIAS_OF
快递物流企业,快递企业,ALIAS_OF
跨模态信息融合,多模态信息融合,ALIAS_OF
β-酮烯胺,β-烯胺酮,ALIAS_OF
辐射机制,热辐射: 辐射机制:热辐射,ALIAS_OF
受体结合区,受体结合结构域,ALIAS_OF
离线编程系统,离线编程,ALIAS_OF
思路方法,思路和方法,ALIAS_OF
医疗影像分割,医学影像分割,ALIAS_OF
YOLO v4,YOLO V4,ALIAS_OF
重组外膜囊泡疫苗,外膜囊泡疫苗,ALIAS_OF
drug delivery,Drug delivery,ALIAS_OF
双注意力机制,双向注意力机制,ALIAS_OF
气道炎症,气道慢性炎症,ALIAS_OF
重组亚单位候选疫苗,重组亚单位疫苗,ALIAS_OF
多机器人协同,多机器人协作,ALIAS_OF
Fluorescence probes,Fluorescent probes,ALIAS_OF
脉冲激光器,脉冲激光,ALIAS_OF
photosynthesis,Photosynthesis,ALIAS_OF
农作物病虫害防治,作物病虫害防治,ALIAS_OF
aggregation induced emission,Aggregation-Induced Emission,ALIAS_OF
前交叉韧带重建术,前交叉韧带重建,ALIAS_OF
多药耐药性,多药耐药,ALIAS_OF
弥漫性大B细胞淋巴瘤,弥漫大B细胞淋巴瘤,ALIAS_OF
stochastic variable delay differential equation,Stochastic variable delay differential equations,ALIAS_OF
语言大模型,大型语言模型,ALIAS_OF
血管通道,血管通路,ALIAS_OF
射血分数保留的心力衰竭,射血分数保留性心力衰竭,ALIAS_OF
热轧钢带,热轧带钢,ALIAS_OF
肠道菌群-肠-脑轴,微生物-肠-脑轴,ALIAS_OF
Euler-Marryama方法,Euler-Maruyama方法,ALIAS_OF
心血管手术,心血管外科手术,ALIAS_OF
病原学检测,病原体检测,ALIAS_OF
癌症患者照顾者,癌症患者家庭照顾者,ALIAS_OF
原子力显微镜（AFM）,原子力显微镜(AFM),ALIAS_OF
老年2型糖尿病患者,老年2型糖尿病,ALIAS_OF
并行代数多重网格法,代数多重网格,ALIAS_OF
农作物收入保险,农业收入保险,ALIAS_OF
主题相似性,主题相似度,ALIAS_OF
灰狼优化算法(GWO),灰狼优化算法,ALIAS_OF
禽畜粪便,畜禽粪便,ALIAS_OF
分子生物技术,分子生物学技术,ALIAS_OF
文本量化研究,文本量化,ALIAS_OF
halogen bonding,Halogen bonding,ALIAS_OF
数据和模型联合驱动,数据与模型混合驱动,ALIAS_OF
智慧化养老,智慧养老,ALIAS_OF
动态热机械分析,动态机械热分析,ALIAS_OF
生产安全,安全生产,ALIAS_OF
猪源多杀性巴氏杆菌,猪多杀性巴氏杆菌,ALIAS_OF
药理研究,药学研究,ALIAS_OF
同时定位与地图创建,同时定位与地图构建,ALIAS_OF
视觉认知,视觉感知,ALIAS_OF
水分解产氢,水分解制氢,ALIAS_OF
齿圈柔性,内齿圈柔性,ALIAS_OF
高功率,大功率,ALIAS_OF
骨性关节炎,骨关节炎,ALIAS_OF
行星和卫星: 探测,行星与卫星:探测,ALIAS_OF
aggregation,Aggregation,ALIAS_OF
水库防洪调度,水库调度,ALIAS_OF
轻量化设计,轻量化,ALIAS_OF
SWOT-PEST分析法,PEST-SWOT分析,ALIAS_OF
半解析法,半解析方法,ALIAS_OF
大单元整体教学,单元整体教学,ALIAS_OF
分子电子器件,分子器件,ALIAS_OF
教育中的人工智能,人工智能与教育,ALIAS_OF
倾向评分匹配,倾向性评分匹配,ALIAS_OF
政策量化评估,政策量化评价,ALIAS_OF
指数多项式,指数型多项式,ALIAS_OF
Citespace软件,CiteSpace软件,ALIAS_OF
吸附机理,吸附机制,ALIAS_OF
现场可编程门阵列(FPGA),现场可编程逻辑门阵列(FPGA),ALIAS_OF
慢性呼吸道疾病,慢性下呼吸道疾病,ALIAS_OF
拓扑优化设计,拓扑优化,ALIAS_OF
金属共价有机框架,金属-有机框架,ALIAS_OF
拓展卡尔曼滤波,扩展卡尔曼滤波,ALIAS_OF
hydrogels,Hydrogel,ALIAS_OF
基因组分型,基因分型,ALIAS_OF
冷链物流,冷链服务,ALIAS_OF
